,count,mean,std,min,25%,50%,75%,max
Planet_Mass2,11962.0,236.2759571977958,279.8916834473812,0.0,0.0,60.0,333.3333333333333,986.6666666666666
Planet_Mass3,11962.0,397.9198294599551,334.60761965270234,0.0,99.33333333333333,282.3333333333333,680.0,1000.0
Epsilon,11962.0,0.10000000000000063,6.245265565016819e-16,0.1,0.1,0.1,0.1,0.1
Alpha,11962.0,0.012603693362313872,0.010766774085783047,0.0005,0.0005,0.00999,0.00999,0.03
Stokes,11962.0,0.05494384977427467,0.061728285163003424,0.000157,0.03,0.03,0.03,0.16
Aspect_Ratio,11962.0,0.06226788998495238,0.02158887990422503,0.0261,0.0432,0.0625,0.0805,0.0989
SigmaSlope,11962.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Flaring_Index,11962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rp1,11962.0,1.0004893830463484,0.11597295463227551,0.806,0.897,1.0,1.1,1.19
Rp2,11962.0,2.0005893663266985,0.11593112393492384,1.81,1.9,2.0,2.1,2.19
Rp3,11962.0,3.200942150142083,0.17354501794076432,2.91,3.06,3.2,3.35,3.49
Planet_Count,11962.0,2.519561946162849,0.7448467165134024,1.0,2.0,3.0,3.0,3.0
